"Año","Mes","Empresa","Circuito","Tipo Indicador","DPIR","FPI","FMIK","TTIK","FIM","FIP","FIT","DAI","FI","Abonados Por Circuito"
"2022","Diciembre ","Coopealfaroruiz","TORO","1","1.3","4","0.011","0.033","","4","","1.3","4","200"
"2022","Diciembre ","Coopealfaroruiz","LAGUNA NORTE","2","1.96","1.9","0.022","0.019","","1","","1.96","1","3480"
"2022","Diciembre ","ICE","ANGOSTURA-TRES EQUIS","1","9.17","5.800000000000001","","","1","1","1","0.25","3","2916"
"2022","Diciembre ","ICE","ANGOSTURA-PERALTA","3","1.11","1.2900000000000003","","","","1","","0.25","1","2645"
"2022","Diciembre ","ICE","ANGOSTURA-PERALTA","2","3.7","3.41","","","","1","","0.25","1","2645"
"2022","Diciembre ","ICE","ANGOSTURA-PERALTA","1","3.7","3.41","","","2","1","","0.25","3","2645"
"2022","Diciembre ","ICE","ANGOSTURA-TRES EQUIS","3","1.85","1.4300000000000002","","","","1","1","0.25","2","2916"
"2022","Diciembre ","ICE","ARENAL-SANGREGADO","2","11.069999999999999","6.74","","","","","","","","4290"
"2022","Diciembre ","ICE","BARRANCA-ZONA FRANCA","2","","","","","","","","","","20"
"2022","Diciembre ","ICE","BARRANCA-ZONA FRANCA","1","0.01","0.05","","","1","","","","1","20"
"2022","Diciembre ","ICE","BARRANCA-URBANO","3","2.15","1.04","","","","","","","","10350"
"2022","Diciembre ","ICE","BARRANCA-URBANO","2","3.4099999999999997","2.48","","","","","","","","10350"
"2022","Diciembre ","ICE","BARRANCA-URBANO","1","3.4099999999999997","2.48","","","1","","","","1","10350"
"2022","Diciembre ","ICE","BARRANCA-ESPARZA","3","0.18","0.1","","","","","","","","11302"
"2022","Diciembre ","ICE","BARRANCA-ESPARZA","2","2.41","1.6199999999999999","","","","","","","","11302"
"2022","Diciembre ","ICE","BARRANCA-ESPARZA","1","2.41","1.6199999999999999","","","","","","","","11302"
"2022","Diciembre ","ICE","BARRANCA-FERTICA","3","2.74","2.06","","","","1","","1.56","1","203"
"2022","Diciembre ","ICE","BARRANCA-FERTICA","2","3.6700000000000004","2.93","","","","1","","1.56","1","203"
"2022","Diciembre ","ICE","BARRANCA-FERTICA","1","3.6700000000000004","2.93","","","","1","","1.56","1","203"
"2022","Diciembre ","ICE","BARRANCA-PUNTARENAS 1","3","0.67","0.32000000000000006","","","","","","","","7094"
"2022","Diciembre ","ICE","BARRANCA-PUNTARENAS 1","2","2.3699999999999997","1.8099999999999998","","","","","","","","7094"
"2022","Diciembre ","ICE","BARRANCA-PUNTARENAS 1","1","2.3699999999999997","1.8099999999999998","","","1","","","","1","7094"
"2022","Diciembre ","ICE","BARRANCA-CALDERA","3","0.77","0.48","","","","","1","","1","2384"
"2022","Diciembre ","ICE","BARRANCA-CALDERA","2","2.5799999999999996","1.6800000000000002","","","","","1","","1","2384"
"2022","Diciembre ","ICE","BARRANCA-CALDERA","1","2.5799999999999996","1.6800000000000002","","","1","","1","","2","2384"
"2022","Diciembre ","ICE","BARRANCA-PUNTARENAS 2","3","0.28","0.24","","","","","","","","4510"
"2022","Diciembre ","ICE","BARRANCA-PUNTARENAS 2","2","1.51","2.54","","","","1","","0.17","1","4510"
"2022","Diciembre ","ICE","BARRANCA-PUNTARENAS 2","1","1.51","2.54","","","1","1","","0.17","2","4510"
"2022","Diciembre ","ICE","ARENAL-TILARAN","3","5.26","4.07","","","","","","","","4782"
"2022","Diciembre ","ICE","ARENAL-TILARAN","2","6.529999999999999","5.18","","","","","","","","4782"
"2022","Diciembre ","ICE","ARENAL-TILARAN","1","6.529999999999999","5.18","","","1","","","","1","4782"
"2022","Diciembre ","ICE","ARENAL-SANTA ELENA","3","2.7500000000000004","1.45","","","","","","","","6315"
"2022","Diciembre ","ICE","ARENAL-SANTA ELENA","2","4.24","2.2600000000000002","","","","","","","","6315"
"2022","Diciembre ","ICE","ARENAL-SANTA ELENA","1","4.24","2.2600000000000002","","","1","","","","1","6315"
"2022","Diciembre ","ICE","ARENAL-SANGREGADO","3","4.26","2.37","","","","","","","","4290"
"2022","Diciembre ","ICE","ARENAL-SANGREGADO","1","11.069999999999999","6.74","","","1","","","","1","4290"
"2022","Diciembre ","ICE","LIBERIA-CONDOVAC","3","4.45","1.06","","","","","","","","234"
"2022","Diciembre ","ICE","LIBERIA-PAPAGAYO","2","6.87","2.13","","","","","","","","526"
"2022","Diciembre ","ICE","BARRANCA-ZONA FRANCA","3","","","","","","","","","","20"
"2022","Diciembre ","JASEC","GRUPO Z","1","0.1912696170747018","0.03954802259887006","","","","","1","","1","1239"
"2022","Diciembre ","JASEC","FATIMA","3","0.8670594368826506","0.9730965546575925","","","","","","","","9404"
"2022","Diciembre ","JASEC","FATIMA","2","1.2705489685240325","2.1098468736707785","","","","1","","0.19777777777777777","1","9404"
"2022","Diciembre ","JASEC","FATIMA","1","1.2705489685240325","2.1098468736707785","","","","1","","0.19777777777777777","1","9404"
"2022","Diciembre ","JASEC","DATA CENTER","3","","","","","","","","","","1"
"2022","Diciembre ","JASEC","DATA CENTER","2","","","","","","","","","","1"
"2022","Diciembre ","JASEC","DATA CENTER","1","","","","","","","","","","1"
"2022","Diciembre ","JASEC","CORIS INDUSTRIAL","3","","","","","","","1","","1","115"
"2022","Diciembre ","JASEC","CORIS INDUSTRIAL","2","2.1566811594202897","0.6782608695652174","","","","","1","","1","115"
"2022","Diciembre ","JASEC","CORIS INDUSTRIAL","1","2.1566811594202897","0.6782608695652174","","","","","1","","1","115"
"2022","Diciembre ","JASEC","COCORI","3","0.14104147451269752","0.06945213060320973","","","1","","","","1","3614"
"2022","Diciembre ","JASEC","COCORI","2","0.2270176935374777","0.08439402324294411","","","2","","","","2","3614"
